Block	Agreement	SNP count
1922	match	6
1923	match	2
1924	match	2
1925	match	3
1926	match	4
1927	match	4
1928	match	2
1929	match	2
1930	match	2
1931	match	2
1932	match	2
1933	match	2
1934	match	2
1935	match	3
1936	match	2
1937	match	2
1938	match	2
1939	match	5
1940	match	3
1941	match	2
1942	-	5
1943	match	2
1944	match	2
1945	match	5
1946	match	2
1947	match	3
1948	match	3
1949	match	3
1950	match	2
1951	match	8
1952	match	4
1953	match	2
1954	match	2
1955	-	5
1956	match	2
1957	match	2
1958	match	2
1959	match	3
1960	match	4
1961	match	2
1962	match	2
1963	match	2
1964	match	2
1965	match	3
1966	match	3
1967	match	2
1968	match	3
1969	match	2
1970	match	3
1971	match	4
1972	match	2
1973	match	3
1974	match	2
1975	match	2
1976	match	2
1977	match	2
1978	match	5
1979	match	2
1980	match	3
1981	match	2
1982	match	5
1983	match	3
1984	match	6
1985	-	4
1986	-	5
1987	match	2
1988	match	2
1989	match	2
1990	match	2
1991	match	3
1992	match	2
1993	match	2
1994	match	2
1995	match	2
1996	match	2
1997	match	2
1998	match	3
1999	match	8
2000	match	8
2001	match	3
2002	match	3
2003	match	2
2004	match	7
2005	match	3
2006	match	4
2007	match	4
2008	match	2
2009	match	3
2010	match	3
2011	match	6
2012	match	2
2013	match	2
2014	match	3
2015	match	2
2016	match	5
2017	match	2
2018	match	4
2019	match	3
2020	match	2
2021	match	2
2022	match	4
2023	match	2
2024	match	2
2025	match	2
2026	match	2
2027	match	3
2028	match	2
2029	match	3
2030	match	9
2031	match	2
2032	match	2
2033	match	2
2034	match	2
2035	match	3
2036	match	3
2037	match	2
2038	match	2
2039	match	2
2040	match	2
2041	match	2
2042	match	2
2043	match	3
2044	match	4
2045	match	2
2046	match	2
2047	match	2
2048	match	3
2049	match	2
2050	match	2
2051	match	3
2052	match	2
2053	match	3
2054	match	2
2055	match	3
2056	match	6
2057	match	2
2058	match	2
2059	match	2
2060	match	3
2061	match	2
2062	match	2
2063	match	4
2064	match	2
2065	match	2
2066	match	2
2067	match	3
2068	match	6
2069	match	3
2070	match	2
2071	match	2
2072	match	4
2073	match	2
2074	match	2
2075	match	2
2076	match	2
2077	match	2
2078	match	3
2079	match	2
2080	match	5
2081	match	5
2082	match	2
2083	match	6
2084	match	7
2085	-	9
2086	match	2
2087	match	3
2088	match	3
2089	match	4
2090	match	6
2091	match	3
2092	match	2
2093	match	7
2094	match	6
2095	match	10
2096	match	2
2097	match	2
2098	match	2
2099	match	2
2100	match	6
2101	match	3
2102	match	4
2103	match	5
2104	match	4
2105	match	2
2106	match	2
2107	match	8
2108	match	2
2109	match	2
2110	match	3
2111	match	2
2112	match	2
2113	match	23
2114	match	2
2115	match	8
2116	match	4
2117	match	2
2118	match	7
2119	match	2
2120	match	2
2121	match	2
2122	match	4
2123	match	3
2124	match	2
2125	match	3
2126	match	9
2127	match	4
2128	match	4
2129	match	2
2130	match	9
2131	match	3
2132	match	4
2133	match	10
2134	match	2
